Date,Open,High,Low,Close,Volume,Market Cap,AverageBlockSize,AverageBlockTime,AverageHashRate,AverageTransactionFee,Gold,VIX,SP500,Tweets,GoogleTrends
2016-01-01,430.7210083007812,436.2460021972656,427.5150146484375,434.3340148925781,36278900.0,6529299588.6,493324.0,10.667,7.14309478178864e+17,0.0691,,,,20122.0,7.601
2016-01-02,434.6220092773438,436.06201171875,431.8699951171875,433.43798828125,30096600.0,6517390487.0,579661.0,9.931,7.0452873895816e+17,0.0913,,,,19715.0,8.269
2016-01-03,433.5780029296875,433.7430114746094,424.7059936523438,430.010986328125,39633800.0,6467429941.65,554573.0,9.931,7.77080113827396e+17,0.0726,,,,19638.0,8.397
2016-01-04,430.0610046386719,434.5169982910156,429.0840148925781,433.0910034179688,38477500.0,6515713340.43,556888.0,7.956,8.50272847330806e+17,0.0733,1072.7,20.7,2012.66,23308.0,8.821
2016-01-05,433.0690002441406,434.1820068359375,429.6759948730469,431.9599914550781,34522600.0,6500393256.0,641696.0,9.172,8.44898019043404e+17,0.0766,1078.0,19.34,2016.71,27207.0,8.421
2016-01-06,431.8559875488281,431.8559875488281,426.3410034179688,429.1050109863281,34042500.0,6458942098.12,662297.0,10.213,7.47242639574455e+17,0.076,1083.85,20.59,1990.26,24615.0,8.269
2016-01-07,430.010986328125,458.7659912109375,429.0769958496094,458.0480041503906,87562200.0,6896279078.4,704633.0,9.796,7.60250934410171e+17,0.0872,1096.0,24.99,1943.09,24700.0,9.925
2016-01-08,457.5379943847656,462.9339904785156,447.93798828125,453.2300109863281,56993000.0,6825700453.75,583567.0,8.324,8.50647338334211e+17,0.0816,1097.45,27.01,1922.03,26040.0,10.272
2016-01-09,453.3829956054688,454.6400146484375,446.8890075683594,447.6109924316406,32278000.0,6742767342.9,638583.0,9.536,8.28815858579432e+17,0.0756,,,,20585.0,8.937
2016-01-10,448.2380065917969,448.3089904785156,440.3510131835938,447.9909973144531,35995900.0,6750440385.75,522339.0,8.229,8.50398869388402e+17,0.0771,,,,20755.0,8.385
2016-01-11,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,40450000.0,6758931030.0,656298.0,8.471,9.01839584245426e+17,0.084,1104.7,24.3,1923.67,23867.0,8.821
2016-01-12,448.1820068359375,448.1820068359375,435.6900024414062,435.6900024414062,115607000.0,6568800099.75,606834.0,8.471,8.87131497084095e+17,0.0794,1094.85,22.47,1938.68,27110.0,8.461
2016-01-13,434.6650085449219,435.1860046386719,424.4429931640625,432.3710021972656,173888000.0,6520360056.22,676273.0,9.73,8.93239373834483e+17,0.0781,1081.8,25.22,1890.28,27094.0,8.577
2016-01-14,432.2879943847656,433.3240051269531,427.8450012207031,430.3059997558594,43945500.0,6490638885.15,718484.0,10.827,7.56259841602953e+17,0.0748,1090.75,23.95,1921.84,25568.0,8.089
2016-01-15,430.2550048828125,430.2550048828125,364.3309936523438,364.3309936523438,153351008.0,5496598039.07,785421.0,11.803,7.16218722488325e+17,0.0787,1081.1,27.02,1880.33,31035.0,12.096
2016-01-16,365.072998046875,390.5570068359375,354.9140014648438,387.5360107421875,120352000.0,5848063566.0,745794.0,10.141,7.66174479603704e+17,0.0675,,,,28097.0,13.007
2016-01-17,387.1520080566406,390.9649963378906,380.0920104980469,382.2990112304688,45319600.0,5770478450.85,753983.0,9.536,7.80504685198667e+17,0.0685,,,,25408.0,10.4
2016-01-18,381.7330017089844,388.10400390625,376.6650085449219,387.1679992675781,54403900.0,5845656048.0,665426.0,8.324,9.88873878196545e+17,0.0707,1090.45,,,29308.0,10.516
2016-01-19,387.0260009765625,387.7300109863281,378.9719848632812,380.1489868164062,46819800.0,5740934168.2,773755.0,10.827,8.42217770120055e+17,0.0815,1087.0,26.05,1881.33,24617.0,9.757
2016-01-20,379.739990234375,425.2669982910156,376.5989990234375,420.2300109863281,121720000.0,6347836793.75,862012.0,9.474,8.33508788509347e+17,0.0874,1093.2,27.59,1859.33,29720.0,10.464
2016-01-21,419.6319885253906,422.8770141601562,406.2999877929688,410.2619934082031,68338000.0,6198658814.55,840116.0,10.511,7.63162464436581e+17,0.0937,1096.8,26.69,1868.99,29595.0,9.733
2016-01-22,409.7510070800781,410.4100036621094,375.2820129394531,382.4920043945312,91546600.0,5780764155.1,661773.0,8.182,8.94584504986077e+17,0.0833,1097.65,22.34,1906.9,27533.0,9.361
2016-01-23,382.4339904785156,394.5429992675781,381.9809875488281,387.4909973144531,56247400.0,5858059876.18,571419.0,8.045,9.79667442713278e+17,0.0789,,,,23029.0,8.705
2016-01-24,388.1019897460938,405.4849853515625,387.510009765625,402.9710083007812,54824800.0,6093787907.65,619003.0,8.421,9.53924505647598e+17,0.0791,,,,22635.0,8.309
2016-01-25,402.3169860839844,402.3169860839844,388.5539855957031,391.7260131835938,59062400.0,5925345407.5,719273.0,8.889,1.00821799440282e+18,0.0821,1103.7,24.15,1877.08,25172.0,8.897
